item_id_a	item_id_b	mode	action	is_directional	a_is_acting	score
4932.YKL196C	4932.YPR181C	binding		f	t	181
4932.YKL196C	4932.YPR181C	reaction		f	f	181
4932.YKL196C	4932.YPR181C	catalysis		t	f	181
4932.YFR030W	4932.YHL027W	expression		t	f	167
4932.YFR030W	4932.YHL027W	activation	activation	t	f	167
4932.YFR030W	4932.YHL027W	inhibition	inhibition	t	f	183
4932.YDR096W	4932.YOL012C	catalysis		t	f	914
4932.YDR096W	4932.YOL012C	binding		f	t	915
4932.YDR096W	4932.YOL012C	reaction		t	f	914
4932.YEL026W	4932.YOR369C	reaction		f	f	274
4932.YEL026W	4932.YOR369C	binding		f	f	274
4932.YKL009W	4932.YNL005C	binding		f	t	278
4932.YIL004C	4932.YIL109C	binding		f	t	654
4932.YIL004C	4932.YIL109C	reaction		t	t	394
4932.YDL145C	4932.YJR031C	binding		f	f	958
4932.YDL145C	4932.YJR031C	catalysis		t	f	958
4932.YDL145C	4932.YJR031C	reaction		t	t	958
4932.YIL005W	4932.YML028W	catalysis		t	f	195
4932.YIL005W	4932.YML028W	binding		f	f	183
4932.YDR406W	4932.YKL145W	binding		f	t	158
4932.YGR156W	4932.YMR061W	binding		f	t	988
4932.YGR156W	4932.YMR061W	reaction		f	f	570
4932.YGR156W	4932.YMR061W	catalysis		t	f	570
4932.YNL021W	4932.YOL012C	reaction		f	f	187
4932.YNL021W	4932.YOL012C	catalysis		t	t	197
4932.YNL021W	4932.YOL012C	binding		f	t	394
4932.YGL216W	4932.YLR086W	catalysis		t	f	189
4932.YGL216W	4932.YLR086W	binding		f	t	192
4932.YGL216W	4932.YLR086W	reaction		t	f	189
4932.YAR007C	4932.YDR097C	reaction		f	f	345
4932.YAR007C	4932.YDR097C	catalysis		t	f	345
4932.YAR007C	4932.YDR097C	binding		f	f	722
4932.YAL040C	4932.YDR328C	binding		f	t	269
4932.YAL040C	4932.YDR328C	reaction		t	f	386
4932.YAL040C	4932.YDR328C	inhibition	inhibition	f	f	454
4932.YAL040C	4932.YDR328C	catalysis		t	f	386
4932.YAL040C	4932.YDR328C	ptmod		f	f	454
4932.YEL022W	4932.YFL038C	binding		f	t	933
4932.YEL022W	4932.YFL038C	reaction		f	f	933
4932.YEL022W	4932.YFL038C	catalysis		t	f	933
4932.YDR404C	4932.YHR143W-A	catalysis		t	t	787
4932.YDR404C	4932.YHR143W-A	activation	activation	t	f	603
4932.YDR404C	4932.YHR143W-A	binding		f	t	975
4932.YDR404C	4932.YHR143W-A	reaction		f	f	787
4932.YDR404C	4932.YHR143W-A	inhibition	inhibition	t	f	603
4932.YDL147W	4932.YPR120C	catalysis		t	t	903
4932.YLR179C	4932.YNL177C	binding		f	t	585
4932.YLR179C	4932.YNL177C	reaction		f	f	585
4932.YLR179C	4932.YNL177C	catalysis		t	f	585
4932.YOL128C	4932.YOR178C	binding		f	t	188
4932.YOL128C	4932.YOR178C	activation	activation	t	t	183
4932.YGL035C	4932.YML110C	expression	inhibition	t	t	416
4932.YER028C	4932.YHR128W	binding		f	f	183
4932.YER028C	4932.YHR128W	activation	activation	t	f	185
4932.YER028C	4932.YHR128W	inhibition	inhibition	t	t	183
4932.YER028C	4932.YHR128W	expression	inhibition	t	t	159
4932.YNL178W	4932.YOR369C	binding		f	f	975
4932.YNL178W	4932.YOR369C	catalysis		t	t	975
4932.YNL178W	4932.YOR369C	reaction		t	t	975
4932.YGR186W	4932.YLR375W	binding		f	t	221
4932.YGR186W	4932.YLR375W	reaction		f	f	221
4932.YGR186W	4932.YLR375W	catalysis		t	f	221
4932.YCR060W	4932.YIL001W	reaction		t	f	157
4932.YCR060W	4932.YIL001W	catalysis		t	t	157
4932.YCR060W	4932.YIL001W	binding		f	t	157
4932.YGR028W	4932.YLR167W	reaction		t	t	189
4932.YGR028W	4932.YLR167W	binding		f	t	189
4932.YGR028W	4932.YLR167W	catalysis		t	f	189
4932.YHR004C	4932.YPL152W	binding		f	f	721
4932.YDL084W	4932.YLR367W	catalysis		t	t	163
4932.YDL084W	4932.YLR367W	binding		f	t	163
4932.YDL084W	4932.YLR367W	reaction		t	t	163
4932.YFR031C-A	4932.YNL069C	reaction		f	f	573
4932.YFR031C-A	4932.YNL069C	catalysis		t	t	573
4932.YFR031C-A	4932.YNL069C	binding		f	f	941
4932.YGL058W	4932.YKR017C	catalysis		t	f	601
4932.YGL058W	4932.YKR017C	binding		f	t	601
4932.YGL058W	4932.YKR017C	reaction		t	t	601
4932.YIL018W	4932.YIL148W	reaction		t	f	351
4932.YIL018W	4932.YIL148W	catalysis		t	t	351
4932.YIL018W	4932.YIL148W	binding		f	t	351
4932.YBR164C	4932.YHR064C	binding		f	f	154
4932.YBR164C	4932.YHR064C	expression	inhibition	t	t	154
4932.YHR160C	4932.YIR003W	binding		f	t	654
4932.YKR099W	4932.YNL245C	reaction		f	f	434
4932.YKR099W	4932.YNL245C	catalysis		t	t	434
4932.YKR099W	4932.YNL245C	binding		f	t	428
4932.YGR162W	4932.YJR007W	reaction		f	f	903
4932.YGR162W	4932.YJR007W	binding		f	t	903
4932.YDR378C	4932.YOR308C	reaction		t	t	211
4932.YDR378C	4932.YOR308C	binding		f	f	891
4932.YNL027W	4932.YNR023W	binding		f	t	183
4932.YNL027W	4932.YNR023W	activation	activation	t	f	183
4932.YDL143W	4932.YKL073W	reaction		t	t	185
4932.YDL143W	4932.YKL073W	catalysis		t	f	185
4932.YDL143W	4932.YKL073W	binding		f	f	188
4932.YBR290W	4932.YPL235W	binding		f	t	196
4932.YJL056C	4932.YNL068C	activation	activation	t	f	181
4932.YJL056C	4932.YNL068C	binding		f	t	188
4932.YJL056C	4932.YNL068C	expression		t	t	175
4932.YLL034C	4932.YMR290C	binding		f	t	868
4932.YDL097C	4932.YDR054C	catalysis		t	t	153
4932.YBR031W	4932.YLR061W	reaction		t	t	570
4932.YBR031W	4932.YLR061W	binding		f	t	570
4932.YBR031W	4932.YLR061W	catalysis		t	f	570
4932.YDR405W	4932.YDR462W	reaction		f	f	755
4932.YDR405W	4932.YDR462W	catalysis		t	t	755
4932.YDR405W	4932.YDR462W	binding		f	f	755
4932.YIL132C	4932.YPL022W	binding		f	t	720
4932.YER165W	4932.YNL066W	binding		f	f	654
4932.YMR142C	4932.YOR063W	reaction		f	f	961
4932.YMR142C	4932.YOR063W	binding		f	f	961
4932.YMR142C	4932.YOR063W	catalysis		t	t	961
4932.YDL081C	4932.YOR182C	reaction		f	f	573
4932.YDL081C	4932.YOR182C	catalysis		t	t	573
4932.YDL081C	4932.YOR182C	binding		f	f	573
4932.YNL021W	4932.YOR113W	binding		f	f	188
4932.YNL021W	4932.YOR113W	activation	activation	t	t	181
4932.YNL021W	4932.YOR113W	inhibition	inhibition	t	t	181
4932.YBL111C	4932.YNL307C	binding		f	f	150
4932.YBL111C	4932.YNL307C	activation	activation	t	f	187
4932.YDR498C	4932.YGL095C	binding		f	f	720
4932.YER054C	4932.YML016C	binding		f	t	310
4932.YHL033C	4932.YMR230W	reaction		t	t	570
4932.YHL033C	4932.YMR230W	binding		f	f	570
4932.YHL033C	4932.YMR230W	catalysis		t	t	570
4932.YER111C	4932.YPL213W	binding		f	t	173
4932.YER111C	4932.YPL213W	activation	activation	t	f	153
4932.YER111C	4932.YPL213W	reaction		t	f	173
4932.YER111C	4932.YPL213W	catalysis		t	t	173
4932.YER111C	4932.YPL213W	ptmod		t	f	173
4932.YER111C	4932.YPL213W	expression	inhibition	t	t	151
4932.YKL156W	4932.YMR194W	binding		f	f	570
4932.YKL156W	4932.YMR194W	catalysis		t	t	570
4932.YKL156W	4932.YMR194W	reaction		t	t	570
4932.YDL202W	4932.YGL076C	reaction		t	t	226
4932.YDL202W	4932.YGL076C	binding		f	f	226
