>/home/user1/code/PPIKG/method/AFTGAN/data/protein.SHS27k.sequences.dictionary.tsv
>/home/user1/code/PPIKG/method/AFTGAN/data/protein.actions.SHS27k.STRING.txt
9606.ENSP00000259406	9606.ENSP00000261769
9606.ENSP00000005340	9606.ENSP00000247170
9606.ENSP00000228534	9606.ENSP00000248673
9606.ENSP00000007414	9606.ENSP00000223054
9606.ENSP00000155926	9606.ENSP00000257430
9606.ENSP00000261991	9606.ENSP00000005257
9606.ENSP00000012443	9606.ENSP00000232975
9606.ENSP00000215832	9606.ENSP00000256953
9606.ENSP00000221232	9606.ENSP00000043402
9606.ENSP00000261693	9606.ENSP00000236850
9606.ENSP00000215659	9606.ENSP00000255448
9606.ENSP00000248566	9606.ENSP00000164133
9606.ENSP00000054666	9606.ENSP00000257700
9606.ENSP00000054668	9606.ENSP00000248076
9606.ENSP00000254695	9606.ENSP00000261636
9606.ENSP00000156109	9606.ENSP00000215829
9606.ENSP00000221930	9606.ENSP00000168148
9606.ENSP00000212015	9606.ENSP00000253727
9606.ENSP00000245451	9606.ENSP00000216160
9606.ENSP00000220003	9606.ENSP00000253792
9606.ENSP00000261254	9606.ENSP00000158166
9606.ENSP00000261461	9606.ENSP00000252729
9606.ENSP00000044462	9606.ENSP00000209728
9606.ENSP00000171111	9606.ENSP00000209884
9606.ENSP00000217652	9606.ENSP00000204961
9606.ENSP00000238081	9606.ENSP00000216274
9606.ENSP00000000233	9606.ENSP00000219255
9606.ENSP00000227266	9606.ENSP00000227758
9606.ENSP00000052754	9606.ENSP00000250160
9606.ENSP00000215793	9606.ENSP00000199814
9606.ENSP00000225577	9606.ENSP00000216160
9606.ENSP00000207437	9606.ENSP00000256460
9606.ENSP00000257430	9606.ENSP00000262320
9606.ENSP00000261366	9606.ENSP00000244534
9606.ENSP00000225724	9606.ENSP00000037243
9606.ENSP00000220003	9606.ENSP00000201979
9606.ENSP00000258743	9606.ENSP00000062104
9606.ENSP00000244741	9606.ENSP00000258743
9606.ENSP00000231228	9606.ENSP00000262345
9606.ENSP00000173229	9606.ENSP00000261172
9606.ENSP00000053468	9606.ENSP00000196551
9606.ENSP00000247219	9606.ENSP00000160382
