>/home/user1/code/PPIKG/method/AFTGAN/data/SYS30k.seqs.tsv
>/home/user1/code/PPIKG/method/AFTGAN/data/SYS30k.txt
4932.YDR404C	4932.YMR290C
4932.YKL032C	4932.YLR321C
4932.YDR012W	4932.YDR382W
4932.YER111C	4932.YGR052W
4932.YHR099W	4932.YNL068C
4932.YDL209C	4932.YKR086W
4932.YDR471W	4932.YML026C
4932.YER050C	4932.YMR193W
4932.YPL026C	4932.YPL242C
4932.YGR161W-A	4932.YML040W
4932.YER106W	4932.YJR112W
4932.YBR009C	4932.YDR139C
4932.YKL101W	4932.YNL307C
4932.YGR056W	4932.YPR119W
4932.YBL063W	4932.YNR011C
4932.YIL018W	4932.YNL339C
4932.YDR518W	4932.YJR104C
4932.YDL082W	4932.YNL069C
4932.YOR286W	4932.YPR066W
4932.YBR118W	4932.YMR142C
4932.YEL032W	4932.YPL153C
4932.YML126C	4932.YNL037C
4932.YGR092W	4932.YPR013C
4932.YGL242C	4932.YLR113W
4932.YKR055W	4932.YLR170C
4932.YOR007C	4932.YPR015C
4932.YGR220C	4932.YPR102C
4932.YMR198W	4932.YPL253C
4932.YGL120C	4932.YKL173W
4932.YBR066C	4932.YGR152C
4932.YLR185W	4932.YML026C
4932.YDL006W	4932.YDL079C
4932.YLR399C	4932.YNL068C
4932.YAR042W	4932.YBR079C
4932.YER056C-A	4932.YML073C
4932.YMR125W	4932.YMR277W
4932.YBR043C	4932.YGR192C
4932.YGR005C	4932.YPR056W
4932.YER110C	4932.YLL012W
4932.YBR146W	4932.YLR406C
4932.YGL030W	4932.YLR441C
4932.YDR247W	4932.YNL204C
4932.YBL032W	4932.YDL209C
4932.YFR031C-A	4932.YKR057W
4932.YHR165C	4932.YMR240C
4932.YDL137W	4932.YOR373W
4932.YER102W	4932.YIL069C
4932.YDL208W	4932.YLR185W
4932.YER051W	4932.YPL165C
4932.YCR071C	4932.YIL078W
4932.YDL161W	4932.YOR109W
4932.YER056C-A	4932.YLR167W
4932.YDR253C	4932.YKL203C
4932.YML124C	4932.YPL209C
4932.YGR162W	4932.YKR094C
4932.YER126C	4932.YFR023W
4932.YDR025W	4932.YEL054C
4932.YFL034C-A	4932.YHL033C
4932.YIL075C	4932.YPL235W
4932.YDL226C	4932.YGR138C
4932.YGL073W	4932.YLR369W
4932.YAL005C	4932.YKR001C
4932.YJL034W	4932.YKL010C
4932.YGL106W	4932.YGR052W
4932.YJR010C-A	4932.YPL076W
4932.YER018C	4932.YGL061C
4932.YNL045W	4932.YOL162W
4932.YKL156W	4932.YML026C
4932.YBR155W	4932.YCR083W
4932.YDR030C	4932.YOR261C
4932.YDR135C	4932.YHR216W
4932.YDR406W	4932.YHR079C
4932.YHR030C	4932.YJL057C
4932.YBR107C	4932.YER018C
4932.YDR225W	4932.YGL194C
4932.YDR247W	4932.YLR248W
4932.YNL097C	4932.YOR113W
4932.YEL077C	4932.YGR278W
4932.YMR242C	4932.YNL162W
4932.YBR164C	4932.YPR015C
4932.YDR477W	4932.YMR207C
4932.YBR233W-A	4932.YMR094W
4932.YHR061C	4932.YPL161C
4932.YJR036C	4932.YML068W
4932.YDR473C	4932.YLR216C
4932.YCR018C	4932.YDR096W
4932.YLR305C	4932.YOL094C
4932.YBR181C	4932.YJL177W
4932.YIL133C	4932.YMR193W
4932.YJR123W	4932.YKL194C
4932.YDR139C	4932.YLR009W
4932.YBL052C	4932.YHR128W
4932.YBR214W	4932.YGR214W
4932.YHR216W	4932.YKR055W
4932.YHR038W	4932.YJL177W
4932.YGR056W	4932.YKL028W
4932.YDL014W	4932.YLL011W
4932.YIL079C	4932.YPL184C
4932.YKL198C	4932.YLR258W
4932.YLR157C-A	4932.YLR256W-A
4932.YAL007C	4932.YNL307C
4932.YDL056W	4932.YJR127C
4932.YEL054C	4932.YGL189C
4932.YOR007C	4932.YPR141C
4932.YBR146W	4932.YGL031C
4932.YAL024C	4932.YJR066W
4932.YBR089C-A	4932.YBR289W
4932.YBL112C	4932.YPL116W
4932.YEL050C	4932.YKL173W
4932.YNL113W	4932.YNR003C
4932.YER102W	4932.YJL190C
4932.YGL044C	4932.YPL184C
4932.YER013W	4932.YOR396W
4932.YDR064W	4932.YER190W
4932.YGR296W	4932.YPL031C
4932.YLR197W	4932.YNL339C
4932.YHR218W-A	4932.YMR239C
4932.YER018C	4932.YKL052C
4932.YKR055W	4932.YPR054W
4932.YHR128W	4932.YNL021W
4932.YGR133W	4932.YPL026C
4932.YMR182C	4932.YPR111W
4932.YKR094C	4932.YPR025C
4932.YPL082C	4932.YPL122C
4932.YBR062C	4932.YDR059C
4932.YGR072W	4932.YHR218W
4932.YMR142C	4932.YOR063W
4932.YBL016W	4932.YGR233C
4932.YBR026C	4932.YGL238W
4932.YLL021W	4932.YLR319C
4932.YDR447C	4932.YIL069C
4932.YGL163C	4932.YML095C
4932.YGL237C	4932.YPL150W
4932.YBR229C	4932.YDR253C
4932.YBL097W	4932.YOL012C
4932.YBR282W	4932.YDR418W
4932.YDR092W	4932.YPR022C
4932.YIL144W	4932.YKL079W
4932.YJL140W	4932.YLL039C
4932.YBR201W	4932.YGR028W
4932.YLR344W	4932.YLR466W
4932.YLR425W	4932.YNL090W
4932.YBR058C	4932.YEL030W
4932.YJL164C	4932.YJR059W
4932.YDR311W	4932.YOR207C
4932.YIL156W	4932.YNR006W
4932.YDR139C	4932.YLR061W
4932.YBL072C	4932.YDR172W
4932.YOR304W	4932.YPL008W
4932.YDR127W	4932.YPL235W
4932.YGR034W	4932.YPR043W
4932.YMR142C	4932.YNL185C
4932.YBL027W	4932.YPL090C
4932.YER021W	4932.YGL242C
4932.YNL068C	4932.YPL089C
4932.YEL054C	4932.YPL079W
4932.YAL021C	4932.YPL230W
4932.YFL009W	4932.YHR076W
4932.YDL213C	4932.YDR183W
4932.YGR085C	4932.YPR132W
4932.YGR209C	4932.YHR176W
4932.YCR046C	4932.YGL147C
4932.YBL105C	4932.YGR152C
4932.YHR090C	4932.YOR141C
4932.YIL018W	4932.YLR388W
4932.YDR253C	4932.YLR229C
4932.YPL110C	4932.YPL153C
4932.YER022W	4932.YNL025C
4932.YGL205W	4932.YNL328C
4932.YDR385W	4932.YNL177C
4932.YNL115C	4932.YOR093C
4932.YHR186C	4932.YIL118W
4932.YAL017W	4932.YLR116W
4932.YGL049C	4932.YLL045C
4932.YGL104C	4932.YKL196C
4932.YIL026C	4932.YLR383W
4932.YJL130C	4932.YPL141C
4932.YDL230W	4932.YNL090W
4932.YGL206C	4932.YHL019C
4932.YDR177W	4932.YMR224C
4932.YKL074C	4932.YOR373W
4932.YGR186W	4932.YIR009W
4932.YDL079C	4932.YOR332W
4932.YDR212W	4932.YNR052C
4932.YHR166C	4932.YJL013C
4932.YDL188C	4932.YPL230W
4932.YBR081C	4932.YGR233C
4932.YKL170W	4932.YKL193C
4932.YER029C	4932.YER112W
4932.YDL155W	4932.YLL013C
4932.YCR051W	4932.YNL031C
4932.YIR009W	4932.YML117W
4932.YKL062W	4932.YPL216W
4932.YLR208W	4932.YLR335W
4932.YHR023W	4932.YOL113W
4932.YKR082W	4932.YLR216C
4932.YDR335W	4932.YOR185C
4932.YGL147C	4932.YNL178W
4932.YLR318W	4932.YPL230W
4932.YDL079C	4932.YLL008W
4932.YGR133W	4932.YOR156C
4932.YKR029C	4932.YOR123C
4932.YGL233W	4932.YJL204C
4932.YBR214W	4932.YIL118W
4932.YGR193C	4932.YPR001W
4932.YDR432W	4932.YLR419W
4932.YGR216C	4932.YPL076W
4932.YGL106W	4932.YGL242C
4932.YDR013W	4932.YLR274W
4932.YER102W	4932.YNL302C
4932.YLR210W	4932.YPR001W
4932.YGR214W	4932.YOR261C
4932.YFR025C	4932.YFR031C
4932.YHR023W	4932.YHR129C
4932.YDR139C	4932.YLR113W
4932.YHR141C	4932.YPL090C
4932.YNL161W	4932.YPR013C
4932.YBR114W	4932.YPL154C
4932.YNL180C	4932.YPL141C
4932.YEL077C	4932.YPR041W
4932.YLR371W	4932.YPL141C
4932.YDR518W	4932.YLR109W
4932.YHL034C	4932.YNL175C
4932.YKL032C	4932.YPR186C
4932.YDR103W	4932.YNR047W
4932.YDL079C	4932.YJL138C
4932.YBL026W	4932.YOR373W
4932.YJR127C	4932.YOL111C
4932.YNL287W	4932.YPR095C
4932.YIL118W	4932.YKL166C
4932.YIL001W	4932.YOR257W
4932.YKR104W	4932.YPL038W
4932.YPL038W	4932.YPR052C
4932.YGL078C	4932.YNL307C
4932.YDR432W	4932.YPR187W
4932.YIL124W	4932.YMR104C
4932.YJL065C	4932.YNL102W
4932.YNL271C	4932.YOR122C
4932.YDR097C	4932.YPR175W
4932.YML025C	4932.YPR132W
4932.YDR500C	4932.YOR096W
4932.YAL021C	4932.YPR119W
4932.YDR099W	4932.YPL153C
4932.YKL062W	4932.YPL016W
4932.YGR186W	4932.YJL203W
4932.YBR189W	4932.YMR146C
4932.YHR086W	4932.YPR094W
4932.YER190W	4932.YNL139C
4932.YER025W	4932.YIL069C
4932.YDL159W	4932.YMR139W
4932.YDR021W	4932.YGL147C
4932.YCR046C	4932.YDR385W
4932.YLR131C	4932.YPL110C
4932.YGR152C	4932.YHL027W
4932.YLR357W	4932.YNL027W
4932.YDR280W	4932.YOR310C
4932.YDR277C	4932.YLR305C
4932.YGL210W	4932.YML001W
4932.YKL126W	4932.YKR098C
4932.YML081W	4932.YOR061W
4932.YDL056W	4932.YDL155W
4932.YHR147C	4932.YLR441C
4932.YHR207C	4932.YKL049C
4932.YER038C	4932.YGR220C
4932.YEL030W	4932.YIR004W
4932.YDR510W	4932.YJR127C
4932.YGR271W	4932.YMR224C
4932.YNL102W	4932.YOR358W
4932.YHR164C	4932.YNL307C
4932.YBL068W-A	4932.YGL238W
4932.YGL244W	4932.YJL168C
4932.YGL003C	4932.YGR253C
4932.YGL106W	4932.YHR030C
4932.YCR027C	4932.YOR326W
4932.YJR017C	4932.YKL198C
4932.YJL074C	4932.YMR224C
4932.YLR305C	4932.YPL230W
4932.YDL043C	4932.YKL078W
4932.YDR177W	4932.YHR205W
4932.YJR084W	4932.YLR150W
4932.YDR026C	4932.YGR108W
4932.YDR253C	4932.YPL239W
4932.YDL134C	4932.YPL141C
4932.YIL118W	4932.YKL161C
4932.YEL009C	4932.YNL090W
4932.YDR043C	4932.YPR104C
4932.YBR234C	4932.YLR321C
4932.YGL241W	4932.YJL026W
4932.YBR164C	4932.YNL167C
4932.YER112W	4932.YLL045C
4932.YJL168C	4932.YMR037C
4932.YBR118W	4932.YJL102W
4932.YCR009C	4932.YDR277C
4932.YDL216C	4932.YDR177W
4932.YGL106W	4932.YNL079C
4932.YOR353C	4932.YPR182W
4932.YHR038W	4932.YNR036C
4932.YIL033C	4932.YOR233W
4932.YHR064C	4932.YHR206W
4932.YDR054C	4932.YDR224C
4932.YER031C	4932.YPR022C
4932.YJR156C	4932.YLR423C
4932.YPL003W	4932.YPR066W
4932.YBR028C	4932.YJR040W
4932.YDR011W	4932.YMR296C
4932.YNL290W	4932.YOL005C
4932.YIL045W	4932.YJR059W
4932.YHR084W	4932.YOL145C
4932.YBR245C	4932.YPR010C
4932.YBR164C	4932.YOL163W
4932.YOR168W	4932.YPL048W
4932.YKR008W	4932.YLR013W
4932.YEL037C	4932.YNL137C
4932.YLR138W	4932.YNL307C
4932.YHR168W	4932.YLR466W
4932.YGR133W	4932.YML032C
4932.YPL240C	4932.YPR048W
4932.YDL084W	4932.YJL041W
4932.YHR218W-A	4932.YNL118C
4932.YLR438C-A	4932.YPR094W
4932.YDR337W	4932.YDR447C
4932.YGR296W	4932.YIR001C
4932.YDL213C	4932.YJL102W
4932.YNL293W	4932.YPR165W
4932.YBR191W	4932.YLR048W
4932.YLR441C	4932.YML024W
4932.YGR138C	4932.YHR205W
4932.YGL201C	4932.YPR019W
4932.YPL131W	4932.YPL178W
4932.YDR328C	4932.YGL149W
4932.YDR155C	4932.YGR218W
4932.YBR154C	4932.YDR145W
4932.YER074W	4932.YPL198W
4932.YBR146W	4932.YPL237W
4932.YDR545W	4932.YGR052W
4932.YNL128W	4932.YNL298W
4932.YKL193C	4932.YPL046C
4932.YGR085C	4932.YMR188C
4932.YNL090W	4932.YOR373W
4932.YJR064W	4932.YOR020C
