>/home/user1/code/PPIKG/method/AFTGAN/data/SYS60k.seqs.tsv
>/home/user1/code/PPIKG/method/AFTGAN/data/SYS60k.txt
4932.YFR030W	4932.YHL027W
4932.YDR096W	4932.YOL012C
4932.YDL145C	4932.YJR031C
4932.YGL216W	4932.YLR086W
4932.YGR186W	4932.YLR375W
4932.YFR031C-A	4932.YNL069C
4932.YGL058W	4932.YKR017C
4932.YKR099W	4932.YNL245C
4932.YDL097C	4932.YDR054C
4932.YDR405W	4932.YDR462W
4932.YER111C	4932.YPL213W
4932.YFL033C	4932.YGL059W
4932.YLR268W	4932.YOR089C
4932.YJR028W	4932.YPR137C-A
4932.YGR044C	4932.YJL110C
4932.YBR191W	4932.YDR450W
4932.YDL155W	4932.YMR001C
4932.YDR388W	4932.YPL022W
4932.YDR210C-C	4932.YGR161W-A
4932.YNL097C	4932.YPL139C
4932.YBR060C	4932.YDR174W
4932.YAL017W	4932.YDR490C
4932.YMR242C	4932.YOR096W
4932.YDR034C-C	4932.YOL103W-A
4932.YDR135C	4932.YJL056C
4932.YGL035C	4932.YMR213W
4932.YDR295C	4932.YIL144W
4932.YAL040C	4932.YER045C
4932.YIR006C	4932.YJR058C
4932.YML049C	4932.YNL138W-A
4932.YKR008W	4932.YPR034W
4932.YDR390C	4932.YOR285W
4932.YCR057C	4932.YIL091C
4932.YMR308C	4932.YOL127W
4932.YDR303C	4932.YNL041C
4932.YBL099W	4932.YHR064C
4932.YNL229C	4932.YPL131W
4932.YCR051W	4932.YHR082C
4932.YLR009W	4932.YLR029C
4932.YFL017W-A	4932.YJL140W
4932.YKL173W	4932.YOL111C
4932.YBR087W	4932.YML049C
4932.YBR236C	4932.YKL139W
4932.YER133W	4932.YLR131C
4932.YDL075W	4932.YLR367W
4932.YER116C	4932.YGL240W
4932.YGL035C	4932.YML042W
4932.YDR335W	4932.YGL216W
4932.YLR388W	4932.YLR406C
4932.YBR114W	4932.YMR136W
4932.YFL037W	4932.YLR200W
4932.YDL143W	4932.YPL150W
4932.YDR385W	4932.YNL067W
4932.YKL190W	4932.YMR136W
4932.YHR077C	4932.YNL178W
4932.YHR205W	4932.YPR015C
4932.YLR325C	4932.YLR441C
4932.YBR282W	4932.YGL103W
4932.YGL068W	4932.YIL018W
4932.YDR364C	4932.YLR115W
4932.YER031C	4932.YNL006W
4932.YBL088C	4932.YDR409W
4932.YDR246W	4932.YDR472W
4932.YJL165C	4932.YPL119C
4932.YIR026C	4932.YLR310C
4932.YGL103W	4932.YNL069C
4932.YKL170W	4932.YNL162W
4932.YHL015W	4932.YPR102C
4932.YLR274W	4932.YPL167C
4932.YER031C	4932.YPR013C
4932.YIL091C	4932.YNL232W
4932.YGR232W	4932.YLR399C
4932.YDR247W	4932.YPR104C
4932.YGR152C	4932.YHR128W
4932.YDR485C	4932.YHR129C
4932.YDL030W	4932.YDR432W
4932.YLL038C	4932.YPL141C
