>/home/user1/code/PPIKG/method/AFTGAN/data/SYS30k.seqs.tsv
>/home/user1/code/PPIKG/method/AFTGAN/data/SYS30k.txt
4932.YHR066W	4932.YOL054W
4932.YLR399C	4932.YPL165C
4932.YBR136W	4932.YER093C
4932.YGL058W	4932.YMR042W
4932.YBR084C-A	4932.YFR031C-A
4932.YML127W	4932.YNL031C
4932.YKL032C	4932.YPL213W
4932.YIL132C	4932.YLR035C
4932.YDL056W	4932.YDL126C
4932.YMR158W	4932.YNL081C
4932.YDL079C	4932.YDR422C
4932.YCR082W	4932.YPL254W
4932.YBL084C	4932.YBR160W
4932.YAR007C	4932.YOL133W
4932.Q0250	4932.YGR183C
4932.YOR150W	4932.YPL183W-A
4932.YDR432W	4932.YGR278W
4932.YDL192W	4932.YGR040W
4932.YGR281W	4932.YNL068C
4932.YBR164C	4932.YIL121W
4932.YBR119W	4932.YLR116W
4932.YKL155C	4932.YKR056W
4932.YMR186W	4932.YNL307C
4932.YBR160W	4932.YGR052W
4932.YBL005W-A	4932.YDR170W-A
4932.YLR287C-A	4932.YOR150W
4932.YGL254W	4932.YHR042W
4932.YDR225W	4932.YFL008W
4932.YIL061C	4932.YLR117C
4932.YDR045C	4932.YKL028W
4932.YGL035C	4932.YOR236W
4932.YBR088C	4932.YMR161W
4932.YIL112W	4932.YNL304W
4932.YMR139W	4932.YOR267C
4932.YDR490C	4932.YPL150W
4932.YBL112C	4932.YHR168W
4932.YDR030C	4932.YLR005W
4932.YGL254W	4932.YOR304W
4932.YDL132W	4932.YNR012W
4932.YIL035C	4932.YPR015C
4932.YCR018C	4932.YHR084W
4932.YGL116W	4932.YOR014W
4932.YGR214W	4932.YNL005C
4932.YOR353C	4932.YPL184C
4932.YDR139C	4932.YJL033W
4932.YEL044W	4932.YFL039C
4932.YBR055C	4932.YOR369C
4932.YGL068W	4932.YKL173W
4932.YIR009W	4932.YMR240C
4932.YDL081C	4932.YDR382W
4932.YMR199W	4932.YPL038W
4932.YGL058W	4932.YPR068C
4932.YLR048W	4932.YNL137C
4932.YEL037C	4932.YER143W
4932.YCL017C	4932.YDL120W
4932.YEL032W	4932.YOR144C
4932.YHR086W	4932.YIL177C
4932.YER131W	4932.YML063W
4932.YML085C	4932.YPR120C
4932.YGR252W	4932.YLR071C
4932.YKL062W	4932.YML065W
4932.YOL080C	4932.YOR113W
4932.YHR147C	4932.YMR230W
4932.YDL112W	4932.YMR128W
4932.YKR094C	4932.YNL098C
4932.YBR084C-A	4932.YGR027C
4932.YKL203C	4932.YLR075W
4932.YGR258C	4932.YLL039C
4932.YOR113W	4932.YPL150W
4932.YML024W	4932.YOL023W
4932.YKL198C	4932.YOL111C
4932.YIR001C	4932.YJL050W
4932.YBR288C	4932.YGR261C
4932.YJL034W	4932.YOL123W
4932.YCL024W	4932.YKL032C
4932.YKL203C	4932.YPL079W
4932.YDR471W	4932.YLR378C
4932.YDL137W	4932.YPL141C
4932.YGR028W	4932.YOR327C
4932.YFL008W	4932.YMR224C
4932.YER045C	4932.YGR232W
4932.YHL004W	4932.YLL008W
4932.YNL102W	4932.YOR005C
4932.YLR287C-A	4932.YLR388W
4932.YER013W	4932.YPL064C
4932.YLL024C	4932.YML064C
4932.YDR096W	4932.YER031C
4932.YDL079C	4932.YDR477W
4932.YGR186W	4932.YJR065C
4932.YHR129C	4932.YMR042W
4932.YDL055C	4932.YDR293C
4932.YDL188C	4932.YGR203W
4932.YCR027C	4932.YGL106W
4932.YGR108W	4932.YGR270W
4932.YMR188C	4932.YPR166C
4932.YGR246C	4932.YPR186C
4932.YBR264C	4932.YDR524C
4932.YGL129C	4932.YLR439W
4932.YAR073W	4932.YHR205W
4932.YGL106W	4932.YNL053W
4932.YMR121C	4932.YMR143W
4932.YGR246C	4932.YJL011C
4932.YIL002C	4932.YOL128C
4932.YBR080C	4932.YPL031C
4932.YAR019C	4932.YGR209C
4932.YOR208W	4932.YPL141C
4932.YDR155C	4932.YKL073W
4932.YLR466W	4932.YMR286W
4932.YJR101W	4932.YLR240W
