>/home/user1/code/PPIKG/method/AFTGAN/data/SYS60k.seqs.tsv
>/home/user1/code/PPIKG/method/AFTGAN/data/SYS60k.txt
4932.YDR237W	4932.YPR043W
4932.YDR092W	4932.YDR409W
4932.YDR099W	4932.YNL068C
4932.YDL078C	4932.YDL229W
4932.YFL037W	4932.YNL126W
4932.YMR213W	4932.YNL107W
4932.YLR029C	4932.YLR287C-A
4932.YJL050W	4932.YLR069C
4932.YMR154C	4932.YPR034W
4932.YBR066C	4932.YER045C
4932.YDR166C	4932.YLR166C
4932.YBR107C	4932.YDR318W
4932.YHR143W-A	4932.YOR151C
4932.YDL195W	4932.YOR022C
4932.YDR247W	4932.YML027W
4932.YBL072C	4932.YML026C
4932.YAL017W	4932.YDL159W
4932.YGR220C	4932.YJR123W
4932.YER040W	4932.YML087C
4932.YJR059W	4932.YLR090W
4932.YKL166C	4932.YPR119W
4932.YBR219C	4932.YDL070W
4932.YAR042W	4932.YGL078C
4932.YJL008C	4932.YPL247C
4932.YDL060W	4932.YGR214W
4932.YER051W	4932.YGR044C
4932.YKR055W	4932.YLR248W
4932.YDL126C	4932.YPL066W
4932.YDR247W	4932.YKL062W
4932.YDR126W	4932.YNL098C
4932.YFL034C-B	4932.YJL095W
4932.YER009W	4932.YLR347C
4932.YER020W	4932.YJL057C
4932.YLR430W	4932.YLR467W
4932.YGR140W	4932.YKL052C
4932.YKL139W	4932.YPR056W
4932.YAL030W	4932.YML064C
4932.YGL213C	4932.YLR418C
4932.YBR073W	4932.YHL035C
4932.YAL021C	4932.YML078W
4932.YBR118W	4932.YIL069C
4932.YER075C	4932.YPR054W
4932.YKL145W	4932.YPL283C
4932.YAL032C	4932.YDL213C
4932.YDL070W	4932.YEL056W
4932.YCR084C	4932.YKL160W
4932.YDL081C	4932.YGR085C
4932.YER074W	4932.YMR146C
4932.YAL035W	4932.YNL067W
4932.YKL156W	4932.YLR185W
4932.YBR146W	4932.YPR132W
4932.YIL033C	4932.YNL307C
4932.YBR088C	4932.YER151C
4932.YEL003W	4932.YGR078C
4932.YAR007C	4932.YNL312W
4932.YLR058C	4932.YOL058W
4932.YBR164C	4932.YLL055W
4932.YCL024W	4932.YNL098C
4932.YIL005W	4932.YML028W
4932.YCL061C	4932.YLR113W
